COUNTY,COUNTY GROUPING,OCCUPANCY: Total housing units,OCCUPANCY: Occupied housing units,OCCUPANCY:Vacant housing units,OCCUPANCY: Homeowner vacancy rate,OCCUPANCY: Rental vacancy rate,"STRUCTURE: 1-unit, detached","STRUCTURE: 1-unit, attached",STRUCTURE: 2 units,STRUCTURE: 3 or 4 units,STRUCTURE: 5 to 9 units,STRUCTURE: 10 to 19 units,STRUCTURE: 20 or more units,STRUCTURE: Mobile home,"STRUCTURE: Boat, RV, van, etc.",YEAR BUILT: 2014 or later,YEAR BUILT: 2010 to 2013,YEAR BUILT: 2000 to 2009,YEAR BUILT: 1990 to 1999,YEAR BUILT: 1980 to 1989,YEAR BUILT: 1970 to 1979,YEAR BUILT: 1960 to 1969,YEAR BUILT: 1950 to 1959,YEAR BUILT: 1940 to 1949,YEAR BUILT: 1939 or earlier,ROOMS: 1 room,ROOMS: 2 rooms,ROOMS: 3 rooms,ROOMS: 4 rooms,ROOMS: 5 rooms,ROOMS: 6 rooms,ROOMS: 7 rooms,ROOMS: 8 rooms,ROOMS:  9 rooms or more,ROOMS: Median rooms,BEDROOMS: No bedroom,BEDROOMS: 1 bedroom,BEDROOMS: 2 bedrooms,BEDROOMS: 3 bedrooms,BEDROOMS: 4 bedrooms,BEDROOMS: 5 or more bedrooms,TENURE: Owner-occupied,TENURE: Renter-occupied,TENURE: Average household size of owner-occupied unit,TENURE: Average household size of renter-occupied unit,TENURE: Moved in 2019 or later,TENURE: Moved in 2015 to 2018,TENURE: Moved in 2010 to 2014,TENURE: Moved in 2000 to 2009,TENURE: Moved in 1990 to 1999,TENURE: Moved in 1989 and earlier,VEHICLES: No vehicles available,VEHICLES: 1 vehicle available,VEHICLES: 2 vehicles available,VEHICLES: 3 or more vehicles available,HEATING FUEL: Utility gas,"HEATING FUEL: Bottled, tank, or LP gas",HEATING FUEL: Electricity,"HEATING FUEL: Fuel oil, kerosene, etc.",HEATING FUEL: Coal or coke,HEATING FUEL: Wood,HEATING FUEL: Solar energy,HEATING FUEL: Other fuel,HEATING FUEL: No fuel used,SELECTED CHARACTERISTICS: Lacking complete plumbing facilities,SELECTED CHARACTERISTICS: Lacking complete kitchen facilities,SELECTED CHARACTERISTICS: No telephone service available,OCCUPANTS PER ROOM 1.00 or less,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,"VALUE: Less than $50,000","VALUE: $50,000 to $99,999","VALUE: $100,000 to $149,999","VALUE: $150,000 to $199,999","VALUE: $200,000 to $299,999","VALUE: $300,000 to $499,999","VALUE: $500,000 to $999,999","VALUE: $1,000,000 or more",VALUE: Median (dollars),MORTGAGE: Housing units with a mortgage,MORTGAGE: Housing units without a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC),    Housing units with a mortgage,SMOC with MORTGAGE: Less than $500,SMOC with MORTGAGE: $500 to $999,"SMOC with MORTGAGE: $1,000 to $1,499","SMOC with MORTGAGE: $1,500 to $1,999","SMOC with MORTGAGE: $2,000 to $2,499","SMOC with MORTGAGE: $2,500 to $2,999","SMOC with MORTGAGE: $3,000 or more",SMOC with MORTGAGE: Median (dollars),SMOC without MORTGAGE: Less than $250,SMOC without MORTGAGE: $250 to $399,SMOC without MORTGAGE: $400 to $599,SMOC without MORTGAGE: $600 to $799,SMOC without MORTGAGE: $800 to $999,"SMOC without MORTGAGE: $1,000 or more",SMOC without MORTGAGE: Median (dollars),SMOCAPI with MORTGAGE: Less than 20.0 percent,SMOCAPI with MORTGAGE: 20.0 to 24.9 percent,SMOCAPI with MORTGAGE: 25.0 to 29.9 percent,SMOCAPI with MORTGAGE: 30.0 to 34.9 percent,SMOCAPI with MORTGAGE: 35.0 percent or more,SMOCAPI with MORTGAGE: Not computed,SMOCAPI without MORTGAGE: Less than 10.0 percent,SMOCAPI without MORTGAGE: 10.0 to 14.9 percent,SMOCAPI without MORTGAGE: 15.0 to 19.9 percent,SMOCAPI without MORTGAGE: 20.0 to 24.9 percent,SMOCAPI without MORTGAGE: 25.0 to 29.9 percent,SMOCAPI without MORTGAGE: 30.0 to 34.9 percent,SMOCAPI without MORTGAGE: 35.0 percent or more,SMOCAPI without MORTGAGE: Not computed,GROSS RENT: Less than $500,GROSS RENT: $500 to $999,"GROSS RENT: $1,000 to $1,499","GROSS RENT: $1,500 to $1,999","GROSS RENT: $2,000 to $2,499","GROSS RENT: $2,500 to $2,999","GROSS RENT: $3,000 or more",GROSS RENT: Median (dollars),GROSS RENT: No rent paid,GRAPI: Less than 15.0 percent,GRAPI: 15.0 to 19.9 percent,GRAPI: 20.0 to 24.9 percent,GRAPI: 25.0 to 29.9 percent,GRAPI: 30.0 to 34.9 percent,GRAPI: 35.0 percent or more,GRAPI: Not computed,geoid,geoid_year,state_fips_code,county_fips_code,lihtc_qualified_tracts,housecost_med_est,housecost_med_moe,housecost_owner_est,housecost_owner_moe,housecost_rent_est,housecost_rent_moe,med_hh_inc_est,med_hh_inc_moe,med_inc_white_est,med_inc_white_moe,med_inc_black_est,med_inc_black_moe,med_inc_ai_an_moe,med_inc_ai_an_est,med_inc_asian_est,med_inc_asian_moe,med_inc_nhopi_est,medi_inc_nhopi_moe,med_inc_other_race_est,med_inc_other_race_moe,med_inc_2plus_races_est,med_inc_2plus_races_moe,med_inc_hisp_est,med_inc_hisp_moe,med_inc_white_nh_est,med_inc_white_nh_moe,med_inc_age_15_24_est,med_inc_age_15_24_moe,med_inc_age_25_44_est,med_inc_age_25_44_moe,med_inc_age_45_64_est,med_inc_age_45_64_moe,med_inc_age_65plus_est,med_inc_age_65plus_moe,earn_med_est,earn_med_moe,earn_med_male_est,earn_med_male_moe,earn_med_fem_est,earn_med_fem_moe,med_mortgage_loan,med_property_value,num_mortgage_loans,num_mortgage_denials,num_mortgages_origin
all,Florida!!Estimate,"9,562,324","7,931,313","1,631,011",2.1,8.2,"5,231,740","599,418","194,949","374,317","465,065","532,816","1,317,928","831,641","14,450","422,291","257,114","1,788,851","1,618,900","1,913,454","1,660,611","843,507","668,193","187,898","201,505","189,646","244,293","959,977","1,988,214","2,129,071","1,730,857","1,034,439","652,777","633,050",5.2,"203,122","959,434","3,094,996","3,688,100","1,348,129","268,543","5,250,878","2,680,435",2.61,2.63,"428,254","2,547,578","1,693,392","1,766,471","878,243","617,375","485,183","3,102,212","3,039,276","1,304,642","374,186","69,739","7,289,166","10,971",741,"10,934","10,753","4,977","159,846","22,095","55,761","145,878","7,695,582","162,482","73,249","343,667","500,332","575,187","761,311","1,304,637","1,166,748","457,385","141,611","232,000","2,979,345","2,271,533",,"2,979,345","36,286","505,653","888,073","683,313","380,557","209,128","276,335","1,539","292,828","479,367","616,080","394,557","201,901","286,800",513,"1,208,464","448,624","317,732","220,411","762,962","21,152","959,800","419,740","243,641","156,382","103,536","68,202","279,263","40,969","127,458","670,290","1,007,382","503,829","159,888","55,337","44,428","1,218","111,823","221,625","268,577","310,230","292,708","239,568","1,171,391","176,336",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
all,Florida!!Margin of Error,±884,"±23,200","±22,743",±0.1,±0.2,"±11,631","±6,097","±4,025","±5,073","±6,117","±7,088","±8,421","±6,579","±1,008","±6,459","±4,868","±10,556","±10,718","±11,511","±9,794","±7,076","±6,486","±3,458","±3,764","±4,082","±4,966","±9,165","±10,640","±14,693","±9,938","±8,219","±7,056","±7,707",±0.1,"±4,196","±7,695","±12,185","±12,442","±9,581","±5,025","±29,168","±14,277",±0.01,±0.01,"±7,566","±11,294","±12,926","±13,178","±7,458","±5,980","±6,282","±14,809","±16,086","±8,834","±6,905","±2,034","±17,302","±1,053",±222,±877,"±1,008",±592,"±4,186","±1,531","±2,055","±3,314","±23,537","±3,275","±2,429","±5,116","±6,145","±6,410","±7,299","±11,633","±10,170","±5,688","±2,419",±608,"±19,953","±15,424",,"±19,953","±1,671","±7,143","±9,046","±8,493","±6,156","±4,577","±4,548",±5,"±4,519","±7,146","±6,362","±5,621","±4,193","±4,783",±3,"±14,252","±6,600","±5,025","±4,671","±8,187","±1,603","±9,487","±5,776","±4,649","±3,540","±2,470","±2,343","±4,984","±1,841","±3,066","±6,818","±9,088","±6,454","±3,708","±2,326","±1,907",±3,"±2,925","±4,998","±4,914","±5,608","±4,879","±4,770","±10,613","±3,930",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
all,Florida!!Percent,"9,562,324",82.90%,17.10%,(X),(X),54.70%,6.30%,2.00%,3.90%,4.90%,5.60%,13.80%,8.70%,0.20%,4.40%,2.70%,18.70%,16.90%,20.00%,17.40%,8.80%,7.00%,2.00%,2.10%,2.00%,2.60%,10.00%,20.80%,22.30%,18.10%,10.80%,6.80%,6.60%,(X),2.10%,10.00%,32.40%,38.60%,14.10%,2.80%,66.20%,33.80%,(X),(X),5.40%,32.10%,21.40%,22.30%,11.10%,7.80%,6.10%,39.10%,38.30%,16.40%,4.70%,0.90%,91.90%,0.10%,0.00%,0.10%,0.10%,0.10%,2.00%,0.30%,0.70%,1.80%,97.00%,2.00%,0.90%,6.50%,9.50%,11.00%,14.50%,24.80%,22.20%,8.70%,2.70%,(X),56.70%,43.30%,,"2,979,345",1.20%,17.00%,29.80%,22.90%,12.80%,7.00%,9.30%,(X),12.90%,21.10%,27.10%,17.40%,8.90%,12.60%,(X),40.90%,15.20%,10.70%,7.50%,25.80%,(X),43.00%,18.80%,10.90%,7.00%,4.60%,3.10%,12.50%,(X),5.00%,26.10%,39.20%,19.60%,6.20%,2.20%,1.70%,(X),(X),8.90%,10.70%,12.40%,11.70%,9.60%,46.80%,(X),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
all,Florida!!Percent Margin of Error,(X),±0.2,±0.2,(X),(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.1,±0.1,±0.1,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.2,(X),(X),±0.1,±0.2,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.2,±0.1,±0.1,(X),±0.2,±0.2,,(X),±0.1,±0.2,±0.3,±0.2,±0.2,±0.1,±0.1,(X),±0.2,±0.3,±0.2,±0.2,±0.2,±0.2,(X),±0.3,±0.2,±0.2,±0.1,±0.3,(X),±0.3,±0.2,±0.2,±0.2,±0.1,±0.1,±0.2,(X),±0.1,±0.2,±0.3,±0.2,±0.1,±0.1,±0.1,(X),(X),±0.2,±0.2,±0.2,±0.2,±0.2,±0.3,(X),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alachua County,"Alachua County, Florida!!Estimate","118,861","101,979","16,882",2.9,15.6,"60,364","4,681","3,104","7,501","9,784","11,113","13,408","8,827",79,"4,311","3,230","19,875","22,886","23,170","21,172","11,853","6,842","2,380","3,142","2,948","3,267","12,031","23,516","27,183","21,653","12,395","7,350","8,518",5.1,"3,045","13,449","32,978","47,078","20,010","2,301","55,696","46,283",2.58,2.35,"8,833","37,784","18,493","18,231","9,727","8,911","7,572","43,393","34,846","16,168","18,372","1,874","79,909",85,16,548,93,113,969,305,757,"1,927","99,990","1,380",609,"2,721","6,985","8,329","9,540","14,889","9,562","3,061",609,"201,600","31,423","24,273",,"31,423",378,"6,887","9,706","6,804","4,114","1,466","2,068","1,433","2,998","5,354","8,211","4,153","1,699","1,858",482,"15,799","4,455","3,153","1,703","6,108",205,"11,383","4,596","2,484","1,709","1,003",684,"2,025",389,"2,277","19,908","15,201","4,971","1,300",527,471,"1,004","1,628","3,867","4,044","4,490","4,408","3,248","21,961","4,265",12001001807,2020,12,1,0,1130,124,898.5,219,1140,166,55242.5,11543,59536,15221.5,33643.5,11833.5,0,0,0,0,0,0,0,0,0,0,0,0,61650.5,14730.5,0,0,63810,21020.5,61044,23287,48183,16256.5,36876,7130,41036,10901,34438.5,8683.5,180000,265000,183,28.5,84.5
Alachua County,"Alachua County, Florida!!Margin of Error",±470,±991,±948,±0.8,±1.3,"±1,296",±571,±564,±788,±872,±851,±826,±684,±64,±626,±483,"±1,020","±1,405","±1,140","±1,167",±924,±615,±433,±506,±542,±546,±985,"±1,377","±1,229","±1,077","±1,011",±764,±779,±0.2,±537,"±1,083","±1,282","±1,498","±1,141",±338,"±1,299","±1,316",±0.04,±0.06,±764,"±1,449",±890,±998,±779,±634,±772,"±1,461","±1,452","±1,089","±1,033",±316,"±1,285",±54,±28,±192,±69,±88,±273,±157,±192,±327,"±1,094",±344,±268,±356,±574,±811,±709,±954,±897,±476,±231,"±5,198","±1,167",±972,,"±1,167",±203,±654,±924,±657,±700,±296,±339,±39,±485,±589,±732,±551,±332,±321,±13,±935,±518,±466,±391,±540,±100,±743,±758,±404,±300,±266,±189,±363,±146,±489,"±1,104",±825,±700,±327,±209,±197,±24,±397,±549,±591,±568,±567,±524,"±1,046",±643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alachua County,"Alachua County, Florida!!Percent","118,861",85.80%,14.20%,(X),(X),50.80%,3.90%,2.60%,6.30%,8.20%,9.30%,11.30%,7.40%,0.10%,3.60%,2.70%,16.70%,19.30%,19.50%,17.80%,10.00%,5.80%,2.00%,2.60%,2.50%,2.70%,10.10%,19.80%,22.90%,18.20%,10.40%,6.20%,7.20%,(X),2.60%,11.30%,27.70%,39.60%,16.80%,1.90%,54.60%,45.40%,(X),(X),8.70%,37.10%,18.10%,17.90%,9.50%,8.70%,7.40%,42.60%,34.20%,15.90%,18.00%,1.80%,78.40%,0.10%,0.00%,0.50%,0.10%,0.10%,1.00%,0.30%,0.70%,1.90%,98.00%,1.40%,0.60%,4.90%,12.50%,15.00%,17.10%,26.70%,17.20%,5.50%,1.10%,(X),56.40%,43.60%,,"31,423",1.20%,21.90%,30.90%,21.70%,13.10%,4.70%,6.60%,(X),12.40%,22.10%,33.80%,17.10%,7.00%,7.70%,(X),50.60%,14.30%,10.10%,5.50%,19.60%,(X),47.70%,19.20%,10.40%,7.20%,4.20%,2.90%,8.50%,(X),5.10%,44.60%,34.00%,11.10%,2.90%,1.20%,1.10%,(X),(X),9.20%,9.60%,10.70%,10.50%,7.70%,52.30%,(X),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alachua County,"Alachua County, Florida!!Percent Margin of Error",(X),±0.8,±0.8,(X),(X),±1.0,±0.5,±0.5,±0.7,±0.7,±0.7,±0.7,±0.6,±0.1,±0.5,±0.4,±0.8,±1.2,±1.0,±1.0,±0.8,±0.5,±0.4,±0.4,±0.5,±0.5,±0.8,±1.2,±1.0,±0.9,±0.9,±0.6,±0.7,(X),±0.5,±0.9,±1.1,±1.2,±1.0,±0.3,±1.2,±1.2,(X),(X),±0.8,±1.3,±0.9,±1.0,±0.7,±0.6,±0.8,±1.4,±1.3,±1.1,±1.0,±0.3,±1.1,±0.1,±0.1,±0.2,±0.1,±0.1,±0.3,±0.2,±0.2,±0.3,±0.4,±0.3,±0.3,±0.6,±1.0,±1.4,±1.2,±1.5,±1.6,±0.8,±0.4,(X),±1.5,±1.5,,(X),±0.6,±1.9,±2.5,±2.0,±2.2,±0.9,±1.1,(X),±1.9,±2.2,±2.5,±2.1,±1.4,±1.3,(X),±2.3,±1.6,±1.4,±1.2,±1.6,(X),±2.8,±2.8,±1.7,±1.2,±1.1,±0.8,±1.5,(X),±1.1,±2.2,±1.7,±1.5,±0.7,±0.5,±0.4,(X),(X),±1.3,±1.4,±1.3,±1.3,±1.2,±2.2,(X),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Baker County,"Baker County, Florida!!Estimate","10,105","8,828","1,277",0.3,0.7,"5,701",58,357,75,85,0,23,"3,806",0,486,223,"2,405","2,284","1,429","1,964",551,291,143,329,203,50,400,"1,290","2,175","2,179","1,716",947,"1,145",5.9,203,305,"1,868","5,515","1,675",539,"6,756","2,072",2.97,2.71,326,"2,485","1,674","1,961","1,364","1,018",219,"2,419","3,315","2,875",125,300,"8,231",29,0,40,0,0,103,19,0,57,"8,640",188,0,"1,039","1,295",788,"1,436","1,224",830,72,72,"158,000","3,932","2,824",,"3,932",43,"1,194","1,409",823,202,245,16,"1,254",824,"1,129",553,141,26,151,321,"2,282",604,337,140,569,0,"1,625",478,296,63,72,7,194,89,214,"1,154",439,0,0,0,90,784,175,394,407,248,79,169,456,319,12003040152,2020,12,3,0,902.5,216,876,254.5,984,332,69919,15349.5,70284,17550,29791.5,3121.5,0,0,0,0,0,0,0,0,43474,7172.5,0,0,70284,17449,0,0,81831,19911.5,84856.5,24764,49247,11953,38027.5,6884,43667.5,6810,34727,7498.5,220000,290000,329,65,159.5
Baker County,"Baker County, Florida!!Margin of Error",±154,±347,±299,±0.1,±1.1,±456,±51,±257,±94,±81,±27,±27,±456,±27,±192,±112,±426,±449,±298,±356,±153,±152,±94,±219,±144,±76,±180,±333,±424,±389,±336,±238,±332,±0.2,±144,±160,±453,±550,±342,±282,±489,±429,±0.15,±0.36,±186,±382,±304,±329,±293,±231,±118,±425,±446,±457,±107,±131,±376,±74,±27,±35,±27,±27,±78,±28,±27,±42,±359,±119,±27,±257,±325,±240,±296,±322,±261,±59,±70,"±10,042",±423,±377,,±423,±35,±319,±299,±225,±118,±227,±26,±90,±240,±257,±176,±94,±31,±101,±42,±411,±275,±199,±97,±193,±27,±313,±184,±158,±68,±53,±13,±106,±76,±108,±401,±163,±27,±27,±27,±92,±45,±153,±230,±271,±132,±57,±130,±197,±201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
